source_file,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason,suggested_level,level_reason,reference_meaning_ja
review,add,119,used,used,verb,past_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=1000+; not_found_in_junior_or_high_word_lists,used,VVN,1000+,pos_review,review,not_found_in_junior_or_high_word_lists,
auto,add,175,mr,mr,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,mr,NN,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,184,lot,lot,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,lot,NN,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,219,ok,ok,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=500+; not_found_in_junior_or_high_word_lists,ok,VV,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,235,accord,accord,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,accord,NN,500+,,review,not_found_in_junior_or_high_word_lists,
review,add,276,mrs,mrs,noun,plural,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NNS; center_pmw=500+; not_found_in_junior_or_high_word_lists,mrs,NNS,500+,pos_review,review,not_found_in_junior_or_high_word_lists,
auto,add,283,able,able,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; not_found_in_junior_or_high_word_lists,able,JJ,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,308,paragraph,paragraph,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,paragraph,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,316,expect,expect,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVP; center_pmw=100+; not_found_in_junior_or_high_word_lists,expect,VVP,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,318,clothe,clothe,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; not_found_in_junior_or_high_word_lists,clothe,VV,100+,,review,not_found_in_junior_or_high_word_lists,
review,add,324,following,following,verb,present_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVG; center_pmw=100+; not_found_in_junior_or_high_word_lists,following,VVG,100+,pos_review,review,not_found_in_junior_or_high_word_lists,
auto,add,346,john,john,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,john,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,352,dr,dr,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,dr,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,365,view,view,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,view,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,379,tom,tom,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,tom,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,428,provide,provide,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; not_found_in_junior_or_high_word_lists,provide,VV,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,432,adult,adult,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,adult,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,439,cost,cost,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,cost,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,441,situation,situation,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,situation,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,445,television,television,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,television,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,451,offer,offer,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,offer,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,462,attention,attention,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,attention,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,494,speaker,speaker,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,speaker,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,497,clear,clear,adjective,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=JJ; center_pmw=100+; not_found_in_junior_or_high_word_lists,clear,JJ,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,511,form,form,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,form,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,526,stress,stress,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,stress,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,527,system,system,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=100+; not_found_in_junior_or_high_word_lists,system,NN,100+,,review,not_found_in_junior_or_high_word_lists,
auto,add,535,require,require,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=100+; not_found_in_junior_or_high_word_lists,require,VV,100+,,review,not_found_in_junior_or_high_word_lists,
