word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks
a few,junior_high,少数の,,junior_word_list,903
a kind of,junior_high,一種の,,junior_word_list,1246
a little,junior_high,少し,,junior_word_list,310
about,junior_high,について、に関する,,junior_word_list,2;725
above,junior_high,上に，上記の,,junior_word_list,1247
abroad,junior_high,外国に、海外に,外国で,junior_word_list;high_word_list,727;1903;433
absent,junior_high,欠席の,,junior_word_list,729
accept,junior_high,を受け入れる,受け入れる,junior_word_list;high_word_list,1248;299
accident,junior_high,事故,,junior_word_list,1249
according to,junior_high,によれば,,junior_word_list,730
across,junior_high,横断して,,junior_word_list,731
action,junior_high,行動,,junior_word_list,732
activity,junior_high,活動,活動,junior_word_list;high_word_list,3;426
actor,junior_high,俳優,,junior_word_list,4
actually,junior_high,実は，本当は,実際に,junior_word_list;high_word_list,1250;87
add,junior_high,加える,足し算する,junior_word_list;high_word_list,733;154
address,junior_high,住所,住所,junior_word_list;high_word_list,1251;506
advice,junior_high,忠告,助言,junior_word_list;high_word_list,734;507
advise,junior_high,助言する,,junior_word_list,735
affect,junior_high,に影響を与える,,junior_word_list,1252
afraid,junior_high,こわがって,心配して,junior_word_list;high_word_list,736;270
after,junior_high,～のあとに,,junior_word_list,5;738;739;1864
after a while,junior_high,しばらくして,,junior_word_list,1253
after all,junior_high,結局,,junior_word_list,740
afternoon,junior_high,午後,,junior_word_list,6
again,junior_high,もう一度、再び、また,,junior_word_list,7
against,junior_high,に対抗して、反対して,,junior_word_list,8
age,junior_high,年齢,,junior_word_list,9;741
ago,junior_high,～の前に,,junior_word_list,742
agree,junior_high,賛成する,同意する,junior_word_list;high_word_list,1254;187
agree with,junior_high,に賛成する,,junior_word_list,1255
ahead,junior_high,前方に,,junior_word_list,1256
air conditioner,junior_high,冷房,,junior_word_list,743
airplane,junior_high,飛行機,,junior_word_list,744
airport,junior_high,空港,,junior_word_list,745
alive,junior_high,生きて,生きている,junior_word_list;high_word_list,746;1148;1651
all,junior_high,全部、全員、全て、みな,,junior_word_list,10;747
all over,junior_high,の至るところで,,junior_word_list,1076
all the time,junior_high,常に,,junior_word_list,1257
almost,junior_high,ほとんど,,junior_word_list,1258
alone,junior_high,独りで,,junior_word_list,748
along,junior_high,に沿って,,junior_word_list,11
already,junior_high,すでに,,junior_word_list,605;1259
also,junior_high,もまた,,junior_word_list,12;13
although,junior_high,であるけれど,だけれども,junior_word_list;high_word_list,1260;487
always,junior_high,いつも,,junior_word_list,14
am,junior_high,午前,,junior_word_list,1;15;16
amaze,junior_high,をびっくりさせる,,junior_word_list,1261
amazing,junior_high,驚くべき,,junior_word_list,1262
among,junior_high,の中で,,junior_word_list,749
amount,junior_high,量，額,量,junior_word_list;high_word_list,1263;116
an,junior_high,1つの、1人の,,junior_word_list,17
ancient,junior_high,古代の,古代の,junior_word_list;high_word_list,750;366
and,junior_high,それと,,junior_word_list,18;19
and so on,junior_high,など,,junior_word_list,20
angle,junior_high,角度,角度,junior_word_list;high_word_list,751;49
angry,junior_high,怒って,,junior_word_list,752;1264
animal,junior_high,動物,,junior_word_list,21;659
announce,junior_high,を発表する,,junior_word_list,1265
announcement,junior_high,発表,,junior_word_list,1266
another,junior_high,ほかの、別の,,junior_word_list,22;753;1886
answer,junior_high,に答える,,junior_word_list,754;1867
any,junior_high,どれもない,,junior_word_list,1267;1268
anyway,junior_high,ともかく,,junior_word_list,1929
apologize,junior_high,謝る,,junior_word_list,755
appear,junior_high,現れる,現れる,junior_word_list;high_word_list,756;370
apple,junior_high,りんご,,junior_word_list,23
apply,junior_high,当てはまる,適用する,junior_word_list;high_word_list,1269;200
april,junior_high,４月,,junior_word_list,24
apron,junior_high,エプロン、前かけ,,junior_word_list,25
are,junior_high,です、ます,,junior_word_list,26;27;757
area,junior_high,区域、場所、地域,,junior_word_list,28
arm,junior_high,腕,,junior_word_list,758;1270
army,junior_high,陸軍,,junior_word_list,1271
around,junior_high,の近くに,,junior_word_list,29;30;31;32;1272
arrest,junior_high,を逮捕する,,junior_word_list,1273
arrive,junior_high,到着する,,junior_word_list,604;759
arrive at,junior_high,に到着する,,junior_word_list,760
arrow,junior_high,矢,,junior_word_list,1274
art,junior_high,美術,,junior_word_list,33;626
article,junior_high,記事,記事,junior_word_list;high_word_list,761;404
artistic,junior_high,芸術的な,,junior_word_list,1275
as,junior_high,として,,junior_word_list,34;762
as a result,junior_high,結果として,,junior_word_list,1125
as for,junior_high,について言えば,,junior_word_list,763
ashamed,junior_high,恥じて,,junior_word_list,1276
ask,junior_high,をたのむ,,junior_word_list,764
ask a favor,junior_high,にお願いする,,junior_word_list,898
at,junior_high,【場所】に、で,,junior_word_list,35;36;37;1277
at night,junior_high,夜に,,junior_word_list,1059
ate,junior_high,食べた（過去形）,,junior_word_list,38
attend,junior_high,に通う，に出席する,出席する,junior_word_list;high_word_list,1278;956;1459
audience,junior_high,聴衆，観客,聴衆,junior_word_list;high_word_list,1279;208
august,junior_high,8月,,junior_word_list,39
aunt,junior_high,おば,,junior_word_list,613;765
autumn,junior_high,秋,,junior_word_list,40
awake,junior_high,目が覚める,目を覚ましている,junior_word_list;high_word_list,1280;1217;1720
away,junior_high,はなれて、去って,,junior_word_list,41;766;1880
awesome,junior_high,すばらしい,,junior_word_list,1281
baby,junior_high,赤ん坊,,junior_word_list,767
back,junior_high,戻って、返して,,junior_word_list,42;1282
bad,junior_high,悪い,,junior_word_list,43
bag,junior_high,かばん,,junior_word_list,45
bake,junior_high,焼く,,junior_word_list,1283
ban,junior_high,を禁止する,禁止する,junior_word_list;high_word_list,1284;391
barber,junior_high,散髪屋,,junior_word_list,1285
barrier,junior_high,障壁,,junior_word_list,768
baseball,junior_high,野球,,junior_word_list,46
bath,junior_high,入浴,,junior_word_list,47;698
battery,junior_high,電池,電池,junior_word_list;high_word_list,1286;763;1266
be,junior_high,である、になる,,junior_word_list,48;769
be about to,junior_high,今にもしようとしている,,junior_word_list,726
be afraid to,junior_high,するのがこわい,,junior_word_list,737
be amazed at,junior_high,に驚かされる,,junior_word_list,1287
be different from,junior_high,とはちがっている,,junior_word_list,1288
be going to,junior_high,するつもりだ,,junior_word_list,932
be in danger of,junior_high,の危険にさらされている,,junior_word_list,1289
be interested in,junior_high,に興味がある,,junior_word_list,985
be ready for,junior_high,の用意ができている,,junior_word_list,1290
be satisfied with,junior_high,に満足する,,junior_word_list,1291
beach,junior_high,浜、海辺,,junior_word_list,49
bean,junior_high,豆,,junior_word_list,50
bear,junior_high,クマ,我慢する,junior_word_list;high_word_list,51;710;441
beautiful,junior_high,美しい,,junior_word_list,52
beauty,junior_high,美しさ、美,,junior_word_list,770
because,junior_high,だから、なので,,junior_word_list,771;1865
because of,junior_high,が理由で,,junior_word_list,772
become,junior_high,になる,,junior_word_list,53;664;1292
bed,junior_high,ベッド,,junior_word_list,54
beef,junior_high,牛肉,,junior_word_list,706;1293
beer,junior_high,ビール,,junior_word_list,773
before,junior_high,の前に,,junior_word_list,55;774;775
began,junior_high,始めた,,junior_word_list,776
begin,junior_high,を始める,,junior_word_list,777;1294
begin to,junior_high,し始める,,junior_word_list,778
beginner,junior_high,初心者,,junior_word_list,1295
beginning,junior_high,最初,,junior_word_list,1296
behavior,junior_high,ふるまい,振る舞い,junior_word_list;high_word_list,1297;268
behind,junior_high,の後ろに,背後に,junior_word_list;high_word_list,56;73
believe,junior_high,信じる,,junior_word_list,779;1298
belong,junior_high,のものである,に属する,junior_word_list;high_word_list,1299;235
below,junior_high,下に，下記の,,junior_word_list,1300
