source_file,action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2,center_word_original,center_pos,center_pmw,review_reason,suggested_level,level_reason,reference_meaning_ja
auto,add,70,out,out,adverb,base,1,外に,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=1000+; matched_junior_word_list,out,RB,1000+,,junior_high,matched_junior_word_list,外に
review,add,119,used,used,verb,past_participle,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VVN; center_pmw=1000+; not_found_in_junior_or_high_word_lists,used,VVN,1000+,pos_review,review,not_found_in_junior_or_high_word_lists,
auto,add,131,however,however,adverb,base,1,しかしながら、けれども,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=1000+; matched_junior_word_list,however,RB,1000+,,junior_high,matched_junior_word_list,しかしながら、けれども
auto,add,168,any,any,adverb,base,1,どれもない,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=RB; center_pmw=500+; matched_junior_word_list,any,RB,500+,,junior_high,matched_junior_word_list,どれもない
auto,add,175,mr,mr,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,mr,NN,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,184,lot,lot,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,lot,NN,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,187,increase,increase,noun,base,1,を増やす，増大させる,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,increase,NN,500+,,junior_high,matched_junior_word_list,を増やす，増大させる
auto,add,219,ok,ok,verb,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=VV; center_pmw=500+; not_found_in_junior_or_high_word_lists,ok,VV,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,235,accord,accord,noun,base,1,,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; not_found_in_junior_or_high_word_lists,accord,NN,500+,,review,not_found_in_junior_or_high_word_lists,
auto,add,247,experience,experience,noun,base,1,を経験する,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,experience,NN,500+,,junior_high,matched_junior_word_list,を経験する
auto,add,254,state,state,noun,base,1,状態,high_school,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_high_word_list,state,NN,500+,,high_school,matched_high_word_list,状態
auto,add,262,activity,activity,noun,base,1,活動,junior_high,2,center_exam,センター試験語彙リスト由来。意味は要補充,center_pos=NN; center_pmw=500+; matched_junior_word_list,activity,NN,500+,,junior_high,matched_junior_word_list,活動
