No,音,英語,日本語,☑
1,,sequence,連続,
2,,fee,料金,
3,,stream,流れ,
4,,legislation,立法,
5,,distribution,分布,
6,,cover,覆う,
7,,rating,評価,
8,,represent,表す,
9,,concentration,集中,
10,,twist,捻る,
11,,particularly,特に,
12,,gain,得る,
13,,peer,同僚,
14,,freeze,凍る,
15,,suggestion,提案,
16,,peak,頂上,
17,,abortion,中絶,
18,,phase,段階,
19,,whom,誰を,
20,,strike,叩く,
21,,existence,存在,
22,,regime,政権,
23,,component,成分,
24,,wipe,拭く,
25,,prisoner,囚人,
26,,surgery,手術,
27,,protect,守る,
28,,mainly,主に,
29,,mostly,主に,
30,,major,主な,
31,,index,索引,
32,,consideration,考慮,
33,,ad,広告,
34,,broad,広い,
35,,thick,厚い,
36,,wise,賢い,
37,,bloody,血の,
38,,dig,掘る,
39,,muscle,筋肉,
40,,breast,胸部,
41,,emphasis,強調,
42,,expectation,期待,
43,,implication,含み,
44,,bite,噛む,
45,,slide,滑る,
46,,slip,滑る,
47,,percentage,割合,
48,,split,割る,
49,,angle,角度,
50,,spin,回す,
51,,interpretation,解釈,
52,,resolution,解決,
53,,intervention,介在,
54,,rent,家賃,
55,,beside,横に,
56,,press,押す,
57,,sharp,鋭い,
58,,hide,隠す,
59,,intention,意図,
60,,treat,扱う,
61,,regulation,規制,
62,,argue,論じる,
63,,federal,連邦の,
64,,crack,裂け目,
65,,flow,流れる,
66,,priority,優先度,
67,,ethnic,民族の,
68,,analyst,分析者,
69,,ordinary,普通の,
70,,defendant,被告人,
71,,criminal,犯罪の,
72,,jury,陪審員,
73,,behind,背後に,
74,,bother,悩ます,
75,,interior,内部の,
76,,moral,道徳の,
77,,escape,逃れる,
78,,voter,投票者,
79,,cast,投げる,
80,,pitch,投げる,
81,,bet,賭ける,
82,,electric,電気の,
83,,forward,前方へ,
84,,disappear,消える,
85,,commercial,商業の,
86,,social,社会の,
87,,actually,実際に,
88,,supreme,最高の,
89,,intense,激しい,
90,,economic,経済の,
91,,suffer,苦しむ,
92,,emergency,緊急の,
93,,fear,恐れる,
94,,huge,巨大な,
95,,seek,求める,
96,,existing,既存の,
97,,environmental,環境の,
98,,academic,学術の,
99,,foreign,外国の,
100,,scientific,科学の,
101,,within,以内で,
102,,previously,以前は,
103,,nor,もない,
104,,towards,の方へ,
105,,according,による,
106,,rather,むしろ,
107,,significantly,かなり,
108,,lean,傾く,
109,,subject,教科,
110,,waste,浪費する,
111,,labor,労働,
112,,progression,進行,
113,,history,歴史,
114,,encourage,励ます,
115,,force,力,
116,,amount,量,
117,,theory,理論,
118,,available,利用できる,
119,,benefit,利益,
120,,demand,要求,
121,,factor,要因,
122,,ease,容易さ,
123,,advantage,有利,
124,,famous,有名な,
125,,mate,友達,
126,,prior,優先の,
127,,role,役割,
128,,useful,役に立つ,
129,,issue,問題,
130,,objective,目標,
131,,purpose,目的,
132,,obvious,明白な,
133,,apparently,一見すると,
134,,order,命令,
135,,democrat,民主主義者,
136,,taste,味,
137,,prevent,妨げる,
138,,law,法律,
139,,method,方法,
140,,direction,方向,
141,,attorney,弁護士,
142,,reply,返答する,
143,,civilization,文明,
144,,context,文脈,
145,,literature,文学,
146,,culture,文化,
147,,atmosphere,雰囲気,
148,,analysis,分析,
149,,share,分かち合う,
150,,object,物体,
151,,complex,複雑な,
152,,department,部門,
153,,arms,武器,
154,,add,足し算する,
155,,lack,不足,
156,,frequently,頻繁に,
157,,disease,病気,
158,,assess,評価する,
159,,assessment,評価,
160,,surface,表面,
161,,express,表現する,
162,,expression,表現,
163,,million,100万,
164,,necessary,必要な,
165,,knee,ひざ,
166,,tail,尾,
167,,avoid,避ける,
168,,spend,費やす,
169,,secretary,秘書,
170,,range,範囲,
171,,opposition,反対,
172,,invent,発明する,
173,,development,発展,
174,,develop,発達させる,
175,,occur,発生する,
176,,discover,発見する,
177,,discovery,発見,
178,,destroy,破壊する,
179,,ability,能力,
180,,enter,入る,
181,,journal,日誌,
182,,refugee,難民,
183,,particular,特定の,
184,,feature,特徴,
185,,especially,特に,
186,,identity,同一性,
187,,agree,同意する,
188,,brain,頭脳,
189,,reach,到着する,
190,,arrival,到着,
191,,natural,自然の,
192,,guess,推測する,
193,,poll,投票,
194,,investor,投資家,
195,,invest,投資する,
196,,basis,土台,
197,,electronic,電子,
198,,traditional,伝統的な,
199,,exhibition,展示,
200,,apply,適用する,
201,,degree,程度,
202,,suggest,提案する,
203,,proposal,提案,
204,,resistance,抵抗,
205,,face,直面する,
206,,length,長さ,
207,,investigation,調査,
208,,audience,聴衆,
209,,sign,兆候,
210,,fellow,仲間,
211,,content,中身,
212,,seat,着席させる,
213,,regional,地方の,
214,,hell,地獄,
215,,knowledge,知識,
216,,governor,知事,
217,,expensive,値段が高い,
218,,price,値段,
219,,male,男性,
220,,decline,断る,
221,,edge,端,
222,,carbon,炭素,
223,,unit,単位,
224,,merely,単に,
225,,achieve,達成する,
226,,achievement,達成,
227,,majority,大多数,
228,,minister,大臣,
229,,university,大学,
230,,representative,代表者,
231,,attitude,態度,
232,,respect,尊敬,
233,,exist,存在する,
234,,continue,続ける,
235,,belong,に属する,
236,,breath,息,
237,,immediately,即座に,
238,,increase,増やす,
239,,equipment,装置,
240,,operate,操作する,
241,,overall,全体的な,
242,,whole,全ての,
243,,election,選挙,
244,,strategy,戦略,
245,,war,戦争,
246,,explain,説明する,
247,,establish,設立する,
248,,responsibility,責任,
249,,tax,税金,
250,,bill,請求書,
251,,production,生産,
252,,correct,正解,
253,,exactly,正確に,
254,,right,正しい,
255,,government,政府,
256,,party,政党,
257,,political,政治の,
258,,policy,政策,
259,,success,成功,
260,,folk,人々,
261,,population,人口,
262,,popular,人気のある,
263,,progress,進歩,
264,,physical,身体の,
265,,wear,身につけている,
266,,truth,真実,
267,,truly,真に,
268,,behavior,振る舞い,
269,,psychological,心理的な,
270,,afraid,心配して,
271,,worry,心配させる,
272,,credit,信用,
273,,belief,信念,
274,,meal,食事,
275,,duty,職務,
276,,plant,植物,
277,,state,状態,
278,,senate,上院,
279,,raise,上げる,
280,,rise,上がる,
281,,award,賞,
282,,detail,詳細,
283,,evidence,証拠,
