word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status
a few,junior_high,少数の,,junior_word_list,903,missing
a kind of,junior_high,一種の,,junior_word_list,1246,missing
a little,junior_high,少し,,junior_word_list,310,missing
according to,junior_high,によれば,,junior_word_list,730,missing
after a while,junior_high,しばらくして,,junior_word_list,1253,missing
after all,junior_high,結局,,junior_word_list,740,missing
agree with,junior_high,に賛成する,,junior_word_list,1255,missing
air conditioner,junior_high,冷房,,junior_word_list,743,missing
alive,junior_high,生きて,生きている,junior_word_list;high_word_list,746;1148;1651,missing
all over,junior_high,の至るところで,,junior_word_list,1076,missing
all the time,junior_high,常に,,junior_word_list,1257,missing
amaze,junior_high,をびっくりさせる,,junior_word_list,1261,missing
amazing,junior_high,驚くべき,,junior_word_list,1262,missing
and so on,junior_high,など,,junior_word_list,20,missing
angle,junior_high,角度,角度,junior_word_list;high_word_list,751;49,missing
announce,junior_high,を発表する,,junior_word_list,1265,missing
announcement,junior_high,発表,,junior_word_list,1266,missing
apologize,junior_high,謝る,,junior_word_list,755,missing
apron,junior_high,エプロン、前かけ,,junior_word_list,25,missing
arrest,junior_high,を逮捕する,,junior_word_list,1273,missing
arrive at,junior_high,に到着する,,junior_word_list,760,missing
article,junior_high,記事,記事,junior_word_list;high_word_list,761;404,missing
artistic,junior_high,芸術的な,,junior_word_list,1275,missing
as a result,junior_high,結果として,,junior_word_list,1125,missing
as for,junior_high,について言えば,,junior_word_list,763,missing
ask a favor,junior_high,にお願いする,,junior_word_list,898,missing
at night,junior_high,夜に,,junior_word_list,1059,missing
audience,junior_high,聴衆，観客,聴衆,junior_word_list;high_word_list,1279;208,missing
awesome,junior_high,すばらしい,,junior_word_list,1281,missing
ban,junior_high,を禁止する,禁止する,junior_word_list;high_word_list,1284;391,missing
barrier,junior_high,障壁,,junior_word_list,768,missing
battery,junior_high,電池,電池,junior_word_list;high_word_list,1286;763;1266,missing
be about to,junior_high,今にもしようとしている,,junior_word_list,726,missing
be afraid to,junior_high,するのがこわい,,junior_word_list,737,missing
be amazed at,junior_high,に驚かされる,,junior_word_list,1287,missing
be different from,junior_high,とはちがっている,,junior_word_list,1288,missing
be going to,junior_high,するつもりだ,,junior_word_list,932,missing
be in danger of,junior_high,の危険にさらされている,,junior_word_list,1289,missing
be interested in,junior_high,に興味がある,,junior_word_list,985,missing
be ready for,junior_high,の用意ができている,,junior_word_list,1290,missing
be satisfied with,junior_high,に満足する,,junior_word_list,1291,missing
because of,junior_high,が理由で,,junior_word_list,772,missing
begin to,junior_high,し始める,,junior_word_list,778,missing
beginner,junior_high,初心者,,junior_word_list,1295,missing
border,junior_high,国境,,junior_word_list,1309,missing
bored,junior_high,退屈した,退屈した,junior_word_list;high_word_list,785;1027;1530,missing
born,junior_high,生まれる,,junior_word_list,1310,missing
breed,junior_high,を飼育する，繁殖する,,junior_word_list,1316,missing
burden,junior_high,負担，重荷,重荷,junior_word_list;high_word_list,1320;1791;2131,missing
bye for now,junior_high,さようなら,,junior_word_list,798,missing
call back,junior_high,折り返し電話する,,junior_word_list,801,missing
calligraphy,junior_high,書道,,junior_word_list,1322,missing
cancer,junior_high,がん,,junior_word_list,1324,missing
cannot,junior_high,できない,,junior_word_list,87,missing
capture,junior_high,を捕まえる,捕える,junior_word_list;high_word_list,1325;1873;2213,missing
carbon dioxide,junior_high,二酸化炭素,,junior_word_list,1326,missing
career,junior_high,職業,,junior_word_list,806,missing
change trains,junior_high,電車を乗りかえる,,junior_word_list,817,missing
charge,junior_high,を充電する,非難,junior_word_list;high_word_list,1332;522,missing
check out,junior_high,を調査する,,junior_word_list,1334,missing
chemical,junior_high,化学物質,化学の,junior_word_list;high_word_list,1335;816;1319,missing
childhood,junior_high,子供のころ,子供時代,junior_word_list;high_word_list,820;1061;1564,missing
colony,junior_high,植民地,植民地,junior_word_list;high_word_list,1348;1902;2242,missing
colorful,junior_high,色彩に富んだ,,junior_word_list,1349,missing
come from,junior_high,出身である,,junior_word_list,833,missing
