word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status,master_levels,master_pos,master_meaning_ja,match_count,mismatch_reason
accept,junior_high,を受け入れる,受け入れる,junior_word_list;high_word_list,1248;299,existing,high_school,verb,受け入れる・認める,2,school=junior_high; master=high_school
activity,junior_high,活動,活動,junior_word_list;high_word_list,3;426,existing,high_school,noun,活動,4,school=junior_high; master=high_school
actually,junior_high,実は，本当は,実際に,junior_word_list;high_word_list,1250;87,existing,high_school,adverb,実際に・実は,2,school=junior_high; master=high_school
affect,junior_high,に影響を与える,,junior_word_list,1252,existing,high_school,verb,影響を与える,2,school=junior_high; master=high_school
against,junior_high,に対抗して、反対して,,junior_word_list,8,existing,high_school,preposition,〜に反対して・〜に逆らって,2,school=junior_high; master=high_school
agree,junior_high,賛成する,同意する,junior_word_list;high_word_list,1254;187,existing,high_school,verb,同意する・意見が一致する,2,school=junior_high; master=high_school
although,junior_high,であるけれど,だけれども,junior_word_list;high_word_list,1260;487,existing,high_school,conjunction,〜だけれども,2,school=junior_high; master=high_school
amount,junior_high,量，額,量,junior_word_list;high_word_list,1263;116,existing,high_school,noun,量・総額,2,school=junior_high; master=high_school
ancient,junior_high,古代の,古代の,junior_word_list;high_word_list,750;366,existing,high_school,adjective,古代の・昔の,2,school=junior_high; master=high_school
any,junior_high,どれもない,,junior_word_list,1267;1268,existing,high_school,adjective,いくらかの・どんな〜でも,4,school=junior_high; master=high_school
appear,junior_high,現れる,現れる,junior_word_list;high_word_list,756;370,existing,high_school,verb,現れる・〜のように見える,2,school=junior_high; master=high_school
apply,junior_high,当てはまる,適用する,junior_word_list;high_word_list,1269;200,existing,high_school,verb,申し込む・適用する,2,school=junior_high; master=high_school
attend,junior_high,に通う，に出席する,出席する,junior_word_list;high_word_list,1278;956;1459,existing,high_school,verb,出席する・通う,2,school=junior_high; master=high_school
beginning,junior_high,最初,,junior_word_list,1296,existing,high_school,noun,始まり・冒頭,2,school=junior_high; master=high_school
behavior,junior_high,ふるまい,振る舞い,junior_word_list;high_word_list,1297;268,existing,high_school,noun,行動・ふるまい,2,school=junior_high; master=high_school
below,junior_high,下に，下記の,,junior_word_list,1300,existing,high_school,adverb,下に・以下で,2,school=junior_high; master=high_school
beyond,junior_high,をこえたところに,を超えて,junior_word_list;high_word_list,1302;465,existing,high_school,preposition,〜を越えて・〜の向こうに,2,school=junior_high; master=high_school
bill,junior_high,請求書,請求書,junior_word_list;high_word_list,784;250,existing,high_school,noun,請求書・法案・紙幣,2,school=junior_high; master=high_school
bother,junior_high,面倒,悩ます,junior_word_list;high_word_list,1311;74,existing,high_school,verb,悩ませる・わざわざ〜する,2,school=junior_high; master=high_school
