expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
about,about,word,について、に関かんする,について、に関かんする,junior_high,1,5,5;4,,5:378;4:469,2
afternoon,afternoon,word,午後ごご,午後ごご,junior_high,1,5,5;4;3,名詞,5:561;4:422;3:632,3
again,again,word,もう一度いちど、再ふたたび、また,もう一度いちど、再ふたたび、また,junior_high,1,5,5;4;3,副詞,5:294;4:438;3:142,3
airplane,airplane,word,飛行機ひこうき,飛行機ひこうき,junior_high,1,5,5;4;3,名詞,5:543;4:380;3:524,3
all,all,word,全部ぜんぶ、全員ぜんいん、全すべて、みな,全部ぜんぶ、全員ぜんいん、全すべて、みな,junior_high,1,5,5;4,,5:33;4:370,2
always,always,word,いつも,いつも,junior_high,1,5,5;4;3,副詞,5:392;4:593;3:457,3
am,am,word,いる、ある,いる、ある,junior_high,1,5,5;4,,5:21;4:376,2
and,and,word,～と,～と,junior_high,1,5,5;4,,5:87;4:413,2
animal,animal,word,動物どうぶつ,動物どうぶつ,junior_high,1,5,5;4,,5:447;4:30,2
apple,apple,word,リンゴ,リンゴ,junior_high,1,5,5;4,,5:317;4:705,2
April,april,word,4月がつ,4月がつ,junior_high,1,5,5;4;3,名詞,5:302;4:621;3:639,3
at,at,word,～で,～で / で、に,junior_high,1,5,5;4;3,前置詞,5:18;4:671;3:1163,3
August,august,word,8月がつ,8月がつ,junior_high,1,5,5;4,,5:407;4:307,2
autumn,autumn,word,秋あき,秋あき,junior_high,1,5,5;4,,5:405;4:554,2
bag,bag,word,カバン,カバン,junior_high,1,5,5;4,,5:48;4:429,2
baseball,baseball,word,野球やきゅう,野球やきゅう,junior_high,1,5,5;4,,5:507;4:467,2
bath,bath,word,風呂ふろ,風呂ふろ,junior_high,1,5,5;4,,5:198;4:560,2
be,be,word,である,である,junior_high,1,5,5;4,,5:24;4:551,2
