No,英単語,日本語訳,記号,数値
1,am,午前,＋,0
2,about,について、に関する,＋,0
3,activity,活動,＋,0
4,actor,俳優,＋,0
5,after,～のあとに,＋,0
6,afternoon,午後,＋,0
7,again,もう一度、再び、また,＋,0
8,against,に対抗して、反対して,＋,0
9,age,年齢,＋,0
10,all,全部、全員、全て、みな,＋,0
11,along,に沿って,＋,0
12,also,もまた,＋,0
13,also,さらに,＋,0
14,always,いつも,＋,0
15,am,です、ます,＋,0
16,am,にいる、ある,＋,0
17,an,1つの、1人の,＋,0
18,and,それと,＋,0
19,and,そして、それから,＋,0
20,and so on,など,＋,0
21,animal,動物,＋,0
22,another,ほかの、別の,＋,0
23,apple,りんご,＋,0
24,April,４月,＋,0
25,apron,エプロン、前かけ,＋,0
26,are,です、ます,＋,0
27,are,にいる、ある,＋,0
28,area,区域、場所、地域,＋,0
29,around,の近くに,＋,0
30,around,のまわりを回って,＋,0
31,around,のあちこちに,＋,0
32,around,あちこち、めぐって,＋,0
33,art,美術,＋,0
34,as,として,＋,0
35,at,【場所】に、で,＋,0
36,at,【時刻・年齢】に,＋,0
37,at,【方向】をめがけて、に向かって,＋,0
38,ate,食べた（過去形）,＋,0
39,August,8月,＋,0
40,autumn,秋,＋,0
41,away,はなれて、去って,＋,0
42,back,戻って、返して,＋,0
43,bad,悪い,＋,0
44,That's too bad,それはいけませんね。,＋,0
45,bag,かばん,＋,0
46,baseball,野球,＋,0
47,bath,入浴,＋,0
48,be,である、になる,＋,0
49,beach,浜、海辺,＋,0
50,bean,豆,＋,0
51,bear,クマ,＋,0
52,beautiful,美しい,＋,0
53,become,になる,＋,0
54,bed,ベッド,＋,0
55,before,の前に,＋,0
56,behind,の後ろに,＋,0
57,best,最も良い,＋,0
58,do one's best,最善をつくす,＋,0
59,bicycle,自転車,＋,0
60,big,大きい,＋,0
61,bike,自転車,＋,0
62,bird,鳥,＋,0
63,birthday,誕生日,＋,0
64,black,黒い,＋,0
65,blue,青い,＋,0
66,body,身体,＋,0
67,book,本,＋,0
68,bookstore,本屋,＋,0
69,borrow,を借りる,＋,0
70,bought,買った（過去形）,＋,0
71,box,箱,＋,0
72,boy,少年,＋,0
73,bread,パン,＋,0
74,breakfast,朝食,＋,0
75,brother,兄弟,＋,0
76,brown,茶色,＋,0
77,brush,をみがく,＋,0
