expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count
After you.,after you.,conversation,お さきに どうぞ。,お さきに どうぞ。 / お先さきにどうぞ。 / どうぞお先さきに。,junior_high,1,5,5;4;3,会話表現,5:196;4:902;3:14,3
All right.,all right.,conversation,いいよ。,いいよ。,junior_high,1,5,5,,5:144,1
Almost!,almost!,conversation,おしい！,おしい！,junior_high,1,5,5,,5:39,1
Are you OK?,are you ok?,conversation,だいじょうぶ？,だいじょうぶ？ / 大丈夫だいじょうぶ？,junior_high,1,5,5;4,,5:265;4:739,2
Are you ready to order?,are you ready to order?,conversation,ごちゅうもんは おきまりですか？,ごちゅうもんは おきまりですか？,junior_high,1,5,5,,5:626,1
Be quiet.,be quiet.,conversation,しずかにして。,しずかにして。,junior_high,1,5,5,,5:88,1
Bless you.,bless you.,conversation,おだいじに。,おだいじに。,junior_high,1,5,5,くしゃみ,5:200,1
Breakfast is ready.,breakfast is ready.,conversation,あさごはん できたよ。,あさごはん できたよ。,junior_high,1,5,5,,5:573,1
Brush your teeth.,brush your teeth.,conversation,はを みがいてね。,はを みがいてね。,junior_high,1,5,5,,5:528,1
Calm down.,calm down.,conversation,おちついて。,おちついて。 / 落おち着ついて。,junior_high,1,5,5;4,,5:190;4:854,2
Can I ask a question?,can i ask a question?,conversation,しつもん しても いいですか？,しつもん しても いいですか？ / 質問しつもんしてもいいですか。,junior_high,1,5,5;3,会話表現,5:610;3:53,2
Can I help you?,can i help you?,conversation,おてつだい しましょうか？,おてつだい しましょうか？ / お手伝てつだいしましょうか？ / いらっしゃいませ。何なにかお探さがしですか。,junior_high,1,5,5;4;3,会話表現,5:439;4:778;3:214,3
Can I join you?,can i join you?,conversation,いれて？,いれて？,junior_high,1,5,5,,5:446,1
Can you help me?,can you help me?,conversation,てつだって くれる？,てつだって くれる？,junior_high,1,5,5,,5:501,1
Cheer up.,cheer up.,conversation,げんきだして。,げんきだして。 / 元気げんきだして。 / 元気げんきを出だして。,junior_high,1,5,5;4;3,会話表現,5:111;4:740;3:500,3
Cheers!,cheers!,conversation,かんぱい！,かんぱい！,junior_high,1,5,5,,5:32,1
Clean your room.,clean your room.,conversation,へやを そうじして。,へやを そうじして。,junior_high,1,5,5,,5:475,1
Close your book.,close your book.,conversation,ほんを とじて。,ほんを とじて。,junior_high,1,5,5,,5:452,1
Come here.,come here.,conversation,こっちに きて。,こっちに きて。,junior_high,1,5,5,,5:177,1
