action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,note2
add,1,about,about,preposition,base,1,について、に関かんする,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:preposition,source_refs=5:378;4:469; row_count=2
add,2,afternoon,afternoon,noun,base,1,午後ごご,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:561;4:422;3:632; row_count=3; label_raw_all=名詞
add,3,again,again,adverb,base,1,もう一度いちど、再ふたたび、また,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:294;4:438;3:142; row_count=3; label_raw_all=副詞
add,4,airplane,airplane,noun,base,1,飛行機ひこうき,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:543;4:380;3:524; row_count=3; label_raw_all=名詞
add,5,all,all,adverb,base,1,全部ぜんぶ、全員ぜんいん、全すべて、みな,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:adverb,source_refs=5:33;4:370; row_count=2
add,6,always,always,adverb,base,1,いつも,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:392;4:593;3:457; row_count=3; label_raw_all=副詞
add,7,am,am,auxiliary,base,1,いる、ある,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:auxiliary,source_refs=5:21;4:376; row_count=2
add,8,and,and,conjunction,base,1,～と,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:conjunction,source_refs=5:87;4:413; row_count=2
add,9,animal,animal,noun,base,1,動物どうぶつ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:noun,source_refs=5:447;4:30; row_count=2
add,10,apple,apple,noun,base,1,リンゴ,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:noun,source_refs=5:317;4:705; row_count=2
add,11,at,at,preposition,base,1,～で,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4;3。pos判定=label_raw_all,source_refs=5:18;4:671;3:1163; row_count=3; label_raw_all=前置詞; meaning_ja_all=～で / で、に
add,12,autumn,autumn,noun,base,1,秋あき,junior_high,1,eiken,英検語彙由来のv2正本候補。英検最小級=5。出現級=5;4。pos判定=v0_master_pos:noun,source_refs=5:405;4:554; row_count=2
