action,source_rank,word,lemma,pos,form_type,sense_id,meaning_ja,level,importance,category,note,Note2
add,4,a,a,article,base,1,ひとつの・ある,junior_high,1,,不定冠詞,
review,143,a lot of,a lot of,adjective,base,1,たくさんの,junior_high,1,,複数語表現として登録するか要確認,元行が review または複数語表現
add,4863,aboard,aboard,preposition,base,1,〜に乗って,exam,3,,船・飛行機などに乗っていることを表す,
add,46,about,about,preposition,base,1,〜について・およそ,junior_high,1,,話題・概略を表す,
add,1091,above,above,preposition,base,1,〜の上に・〜を超えて,junior_high,2,,上方・基準超過を表す,
add,1149,abroad,abroad,adverb,base,1,外国へ・外国で,junior_high,2,,,比較級・最上級を単語形として追加する必要性は低い
add,768,absent,absent,adjective,base,1,欠席の・不在の,junior_high,2,,,規則比較級・最上級として自動生成候補
add,902,accident,accident,noun,base,1,事故,junior_high,1,,,
add,263,across,across,preposition,base,1,〜を横切って・〜の向こう側に,junior_high,2,,横断・反対側を表す,
add_pos_variant,1165,across,across,adverb,base,1,横切って・向こう側へ,junior_high,2,,前置詞 across とは別,比較級・最上級を単語形として追加する必要性は低い
add,897,action,action,noun,base,1,行動,junior_high,1,,,
add,2004,actor,actor,noun,base,1,俳優,junior_high,1,,,
add,743,add,add,verb,base,1,加える,junior_high,1,,,規則活用。自動生成候補
add,1267,addition,addition,noun,base,1,追加・加えること,high_school,2,,通常は in addition to の形で使う。単独では名詞として扱う,
add,965,address,address,noun,base,1,住所,junior_high,1,,,
add,586,advice,advice,noun,base,1,忠告・助言,junior_high,1,,,不可算名詞。通常 advices は作らない
add,752,advise,advise,verb,base,1,忠告する・助言する,junior_high,2,,,規則活用。自動生成候補
add,800,afraid,afraid,adjective,base,1,恐れて,junior_high,1,,,規則比較級・最上級として自動生成候補
add,95,after,after,preposition,base,1,〜の後に,junior_high,1,,時間・順序で後を表す,
add,3003,afternoon,afternoon,noun,base,1,午後,junior_high,1,,,
add,311,again,again,adverb,base,1,もう一度・再び,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,125,against,against,preposition,base,1,〜に反対して・〜に逆らって,high_school,2,,対立・接触・背景を表す,
add,138,age,age,noun,base,1,年齢,junior_high,1,,,
add,343,ago,ago,adverb,base,1,前に,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,1100,ah,ah,interjection,base,1,ああ・あっ,junior_high,2,,驚き・理解・感情を表す,
add,1150,ahead,ahead,adverb,base,1,前方に・先に,junior_high,2,,,比較級・最上級を単語形として追加する必要性は低い
add,619,air,air,noun,base,1,空気,junior_high,1,,,不可算用法が中心
add,2009,airplane,airplane,noun,base,1,飛行機,junior_high,1,,,
add,494,airport,airport,noun,base,1,空港,junior_high,1,,,
add,6694,alas,alas,interjection,base,1,ああ・悲しいかな,exam,3,,古風・文学的な嘆き,
add,4772,albeit,albeit,conjunction,base,1,〜ではあるが,exam,3,,文語的・硬い譲歩表現,
add,417,album,album,noun,base,1,アルバム,junior_high,1,,,
add,354,all,all,adverb,base,1,まったく・すっかり・みんな・すべて,junior_high,2,,語義統合。ただし「すべて」は限定詞・代名詞用法もあるため要確認,比較級・最上級を単語形として追加する必要性は低い
add,1152,almost,almost,adverb,base,1,ほとんど,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,1141,alone,alone,adverb,base,1,ひとりで,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,316,along,along,preposition,base,1,〜に沿って,junior_high,2,,線・道筋に沿うことを表す,
add,2528,alongside,alongside,preposition,base,1,〜と並んで・〜のそばに,high_school,2,,並行・近接を表す,
add,326,already,already,adverb,base,1,すでに,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,348,also,also,adverb,base,1,〜もまた,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,1042,although,although,conjunction,base,1,〜だけれども,high_school,2,,譲歩を表す,
add,308,always,always,adverb,base,1,いつも,junior_high,1,,,比較級・最上級を単語形として追加する必要性は低い
add,3008,am,be,auxiliary,variant,1,いる・ある,junior_high,1,基本語,be動詞。191基本語と重複,
add,104,America,America,noun,base,1,アメリカ,junior_high,1,国名,,
add,807,American,American,adjective,base,1,アメリカの・アメリカ人の,junior_high,1,,,more/most 型で扱う候補。単語形としては追加しない
add,4638,amid,amid,preposition,base,1,〜の中で・〜の最中に,exam,3,,文語的。状況の中にあることを表す,
add,7809,amidst,amidst,preposition,base,1,〜の中で・〜の最中に,exam,3,,amidの文語的形,
add,241,among,among,preposition,base,1,〜の間に・〜の中で,junior_high,2,,3者以上の中にあることを表す,
