expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count,hold_reason
abandonment,abandonment,word,放棄，遺棄,放棄，遺棄,exam,3,pre1,pre1,名詞,pre1:1823,1,pre1_or_1_deferred
abbreviate,abbreviate,word,を略する，短縮する,を略する，短縮する,exam,3,pre1,pre1,動詞,pre1:2402,1,pre1_or_1_deferred
abbreviation,abbreviation,word,省略，略語,省略，略語,exam,3,pre1,pre1,名詞,pre1:1743,1,pre1_or_1_deferred
abolition,abolition,word,廃止，撤廃,廃止，撤廃,exam,3,pre1,pre1,名詞,pre1:1866,1,pre1_or_1_deferred
aboriginal,aboriginal,word,先住民の，土着の,先住民の，土着の,exam,3,pre1,pre1,形容詞,pre1:2292,1,pre1_or_1_deferred
abort,abort,word,中絶する，流産する,中絶する，流産する / 中絶する，挫折する,exam,3,pre1,pre1;1,動詞,pre1:2526;1:685,2,pre1_or_1_deferred
abound,abound,word,たくさんいる，多い,たくさんいる，多い,exam,3,pre1,pre1,動詞,pre1:2244,1,pre1_or_1_deferred
abstain,abstain,word,控える，慎む,控える，慎む,exam,3,pre1,pre1;1,動詞,pre1:3005;1:4226,2,pre1_or_1_deferred
abstraction,abstraction,word,抽象的,抽象的,exam,3,pre1,pre1,名詞,pre1:2865,1,pre1_or_1_deferred
absurd,absurd,word,ばかげた，道理に合わない,ばかげた，道理に合わない,exam,3,pre1,pre1,形容詞,pre1:576,1,pre1_or_1_deferred
abundance,abundance,word,豊富,豊富,exam,3,pre1,pre1,名詞,pre1:786,1,pre1_or_1_deferred
abuse,abuse,word,乱用，悪用,乱用，悪用,exam,3,pre1,pre1,名詞,pre1:270,1,pre1_or_1_deferred
abusive,abusive,word,虐待的な，乱用の,虐待的な，乱用の,exam,3,pre1,pre1,形容詞,pre1:1498,1,pre1_or_1_deferred
accelerate,accelerate,word,加速する,加速する,exam,3,pre1,pre1,動詞,pre1:2164,1,pre1_or_1_deferred
accessible,accessible,word,行きやすい，便利な,行きやすい，便利な,exam,3,pre1,pre1;1,形容詞,pre1:1153;1:349,2,pre1_or_1_deferred
acclaim,acclaim,word,称賛する,称賛する,exam,3,pre1,pre1;1,動詞,pre1:2925;1:2240,2,pre1_or_1_deferred
accord,accord,word,一致する，調和する,一致する，調和する,exam,3,pre1,pre1,動詞,pre1:3208,1,pre1_or_1_deferred
accountability,accountability,word,説明責任,説明責任,exam,3,pre1,pre1,名詞,pre1:2941,1,pre1_or_1_deferred
accountant,accountant,word,会計士，会計係,会計士，会計係,exam,3,pre1,pre1,名詞,pre1:1138,1,pre1_or_1_deferred
accounting,accounting,word,会計，計算,会計，計算,exam,3,pre1,pre1;1,名詞,pre1:982;1:31,2,pre1_or_1_deferred
accumulation,accumulation,word,蓄積,蓄積,exam,3,pre1,pre1,名詞,pre1:2066,1,pre1_or_1_deferred
accurately,accurately,word,正確に，綿密に,正確に，綿密に,exam,3,pre1,pre1,副詞,pre1:662,1,pre1_or_1_deferred
accusation,accusation,word,非難，告発,非難，告発,exam,3,pre1,pre1,名詞,pre1:1072,1,pre1_or_1_deferred
accustom,accustom,word,慣れる,慣れる,exam,3,pre1,pre1,動詞,pre1:3306,1,pre1_or_1_deferred
ache,ache,word,痛み,痛み,exam,3,pre1,pre1,名詞,pre1:424,1,pre1_or_1_deferred
acid,acid,word,酸の，酸性の,酸の，酸性の,exam,3,pre1,pre1,形容詞,pre1:3396,1,pre1_or_1_deferred
acoustic,acoustic,word,音響の，聴覚の,音響の，聴覚の,exam,3,pre1,pre1,形容詞,pre1:2664,1,pre1_or_1_deferred
acquisition,acquisition,word,取得,取得,exam,3,pre1,pre1,名詞,pre1:596,1,pre1_or_1_deferred
acquit,acquit,word,無罪宣告する、無罪を証明する,無罪宣告する、無罪を証明する / 無罪宣告する，無罪を証明する,exam,3,pre1,pre1;1,動詞,pre1:3056;1:1507,2,pre1_or_1_deferred
activate,activate,word,作動させる,作動させる,exam,3,pre1,pre1,動詞,pre1:425,1,pre1_or_1_deferred
addiction,addiction,word,中毒性,中毒性,exam,3,pre1,pre1,名詞,pre1:2317,1,pre1_or_1_deferred
addictive,addictive,word,中毒性の、依存性の,中毒性の、依存性の / 中毒性の，依存性の,exam,3,pre1,pre1;1,形容詞,pre1:3016;1:1498,2,pre1_or_1_deferred
adhere,adhere,word,遵守する,遵守する,exam,3,pre1,pre1,動詞,pre1:3371,1,pre1_or_1_deferred
adjacent,adjacent,word,隣接している,隣接している / 隣接している，近接する,exam,3,pre1,pre1;1,形容詞,pre1:2623;1:1432,2,pre1_or_1_deferred
adjective,adjective,word,形容詞，形容する言葉,形容詞，形容する言葉,exam,3,pre1,pre1;1,名詞,pre1:1201;1:1211,2,pre1_or_1_deferred
adjustable,adjustable,word,調整可能な，順応できる,調整可能な，順応できる,exam,3,pre1,pre1,形容詞,pre1:1986,1,pre1_or_1_deferred
adjustment,adjustment,word,調整，調節,調整，調節,exam,3,pre1,pre1,名詞,pre1:316,1,pre1_or_1_deferred
administer,administer,word,を管理する，治める,を管理する，治める,exam,3,pre1,pre1,動詞,pre1:1482,1,pre1_or_1_deferred
